nombre,zona,telefono,whatsapp,sitio_web,motivo
Alandes / Amp Cava (Karim Mussi),Maipú,+54 261 466-8048,+54 261 466-8048,https://www.karimmussi.com,Sitio web sin foto usable
Antigal Winery & Estates,Maipú,,+54 261 362-4086,https://www.antigal.com,Sitio web sin foto usable
Atilio Avena e Hijos,Maipú,,+54 9 2612 08-8332,https://www.atilioavena.com,Sitio web sin foto usable
Bodega Altus (Gualtallary Wines),Valle de Uco,+54 9 2622 51-0040,+54 9 2622 51-0040,https://www.gualtallarywines.com,Sitio web sin foto usable
Bodega Familia Roca,San Rafael,+54 260 449-7250 / 449-7117 / 449-7194,+54 9 260 453-3028,https://www.rocawines.com,Sitio web sin foto usable
Bodega Giaquinta (Familia Giaquinta),Valle de Uco,+54 9 2622 54-0288,,https://www.familiagiaquinta.com,Sitio web sin foto usable
Bodega Iaccarini,San Rafael,+54 260 400-8724,+54 260 400-8724,https://www.iaccariniwines.com.ar,Sitio web sin foto usable
Bodega La Bowense,General Alvear,,,https://www.labowense.com,Sitio web sin foto usable
Bodega La Regional (Coop. Vitivinícola Gral. Alvear),General Alvear,+54 2625 422-691 / 423-088,,https://www.vinosgeneralalvear.com.ar,Sitio web sin foto usable
Bodega Navarro Correas,Godoy Cruz,+54 261 459-7916,,https://www.navarrocorreas.com.ar,Sitio web sin foto usable
Bodega O. Fournier,Valle de Uco,+54 262 245-1579,,https://www.ofournier.com,Sitio web sin foto usable
Bodega Suter,San Rafael,,,https://www.bodegasuter.com.ar,Sitio web sin foto usable
Bodega Vintage,Godoy Cruz,,,https://www.bodegavintage.com,Sitio web sin foto usable
Bodega Vistalba (Carlos Pulenta),Luján de Cuyo,,+54 261 255-5555,https://www.bodegavistalba.com,Sitio web sin foto usable
Bodegas López,Maipú,+54 261 497-2406,+54 9 261 594-8023,https://bodegaslopez.com.ar,Sitio web sin foto usable
Bodegas y Viñedos Pascual Toso,Guaymallén,+54 261 405-8000,,https://www.bodegastoso.com,Sitio web sin foto usable
Carmelo Patti,Luján de Cuyo,+54 9 261 207-0789,,https://www.bodegacarmelopatti.com,Sitio web sin foto usable
Chakana,Luján de Cuyo,+54 9 261 509-5643,+54 9 261 509-5643,https://www.chakanawines.com.ar,Sitio web sin foto usable
Chandon Argentina,Luján de Cuyo,+54 261 490-9968,+54 9 261 485-9656,https://www.chandon.com.ar,Sitio web sin foto usable
Cooperativa Vitivinícola Nueva California,Guaymallén,,,http://www.bodeganuevacalifornia.com,Sitio web sin foto usable
Doña Paula,Luján de Cuyo,,+54 261 341-5739,https://www.donapaula.com,Sitio web sin foto usable
Escorihuela Gascón,Godoy Cruz,+54 261 424-2744,,https://www.escorihuelagascon.com.ar,Sitio web sin foto usable
Finca Decero,Luján de Cuyo,,+54 261 215-1271,https://www.fincadecero.com,Sitio web sin foto usable
Huertana,Maipú,,+54 9 2617 69-0700,https://www.huertana.com.ar,Sitio web sin foto usable
Kaiken,Luján de Cuyo,,+54 261 562-0303,https://www.kaikenwines.com,Sitio web sin foto usable
Luigi Bosca,Luján de Cuyo,+54 261 498-0437,,https://www.luigibosca.com,Sitio web sin foto usable
Matervini,Luján de Cuyo,,+54 9 261 616-8279,https://www.matervini.com,Sitio web sin foto usable
Mendel Wines,Luján de Cuyo,,+54 261 201-6388,https://mendel.com.ar,Sitio web sin foto usable
Ruca Malén,Luján de Cuyo,,+54 261 454-1236,https://www.bodegarucamalen.com,Sitio web sin foto usable
SoloContigo,Valle de Uco,+54 2622 37-7529,,https://www.solocontigowines.com,Sitio web sin foto usable
SuperUco,Valle de Uco,,+54 9 261 559-4391,https://www.superuco.com,Sitio web sin foto usable
Susana Balbo Wines,Luján de Cuyo,,,https://www.susanabalbowines.com.ar,Sitio web sin foto usable
Tapiz,Luján de Cuyo,+54 261 490-0202,,https://www.bodega-tapiz.com.ar,Sitio web sin foto usable
Trivento,Maipú,,+54 9 261 586-2868,https://www.trivento.com,Sitio web sin foto usable
Urqo,Valle de Uco,,+54 9 261 345-8001,https://www.bodegaurqo.com,Sitio web sin foto usable
Viña Las Perdices,Luján de Cuyo,,+54 9 261 244-7143,https://www.lasperdices.com,Sitio web sin foto usable
Aitor Ider Balbo SAACI,Zona Este,,,,Sin sitio web cargado
Alfredo y José Lanzarini SECPA,Zona Este,,,,Sin sitio web cargado
Benedetti,Zona Este,,,,Sin sitio web cargado
Bodega Aconquija,Valle de Uco,,,,Sin sitio web cargado
Bodega Crotta SA,Zona Este,,,,Sin sitio web cargado
Bodega El Rosal,San Rafael,+54 260 443-9997,,,Sin sitio web cargado
Bodega Esmeralda SA,Zona Este,,,,Sin sitio web cargado
Bodega Fapes,Valle de Uco,+54 261 470-262,+54 9 2622 58-6051,,Sin sitio web cargado
Bodega Goyenechea,San Rafael,+54 260 461-7294,+54 260 461-7294,,Sin sitio web cargado
Bodega Lavaque (San Rafael),San Rafael,,,,Sin sitio web cargado
Bodega Lenor,Guaymallén,,,,Sin sitio web cargado
Bodega Pedro Carricondo e Hijos SA,Zona Este,,,,Sin sitio web cargado
Bodega Samei Lorenzo Guerrero Ltda.,Zona Este,,,,Sin sitio web cargado
Bodega Suc. de Cayetano Impellizzieri,Zona Este,,,,Sin sitio web cargado
Bodega U.V.A.S.A.,General Alvear,,,,Sin sitio web cargado
Bodega Uvita,Guaymallén,+54 261 432-175,,,Sin sitio web cargado
Bodegas Carlos González Videla,Zona Este,,,,Sin sitio web cargado
Bodegas Diego Torres,Guaymallén,+54 261 431-3921,,,Sin sitio web cargado
Bodegas José Orfila,Zona Este,,,,Sin sitio web cargado
Bodegas y Viñedos Figueroa,General Alvear / Rivadavia,,,,Sin sitio web cargado
Bodegas y Viñedos Grippi Hnos SRL,Zona Este,,,,Sin sitio web cargado
Bodegas y Viñedos José Pantone e Hijos,Zona Este,,,,Sin sitio web cargado
Bodegas y Viñedos Rolando Manueli,Zona Este,,,,Sin sitio web cargado
Bodegas y Viñedos Sergio e Isabel G.,Zona Este,,,,Sin sitio web cargado
Brandi Emilio,Zona Este,,,,Sin sitio web cargado
Cape,Zona Este,,,,Sin sitio web cargado
Centarti Agrind SRL,Zona Este,,,,Sin sitio web cargado
Cooperativa Vitivinícola El Libertador,Zona Este,,,,Sin sitio web cargado
Demalde Gerónimo,Zona Este,,,,Sin sitio web cargado
Dentoni,Zona Este,,,,Sin sitio web cargado
Duche Argentina (Juan Carlos Monc),Guaymallén,,,,Sin sitio web cargado
Falasco Aroldo y Jorge (Los Haroldos),Zona Este,,,,Sin sitio web cargado
Giusepponi Hnos,Guaymallén,,,,Sin sitio web cargado
La Ubaldina SECPA,Zona Este,,,,Sin sitio web cargado
Los Haroldos SA,Zona Este,,,,Sin sitio web cargado
Melipal,Luján de Cuyo,,+54 9 261 338-8699,,Sin sitio web cargado
